X,Z,trial,finished
24.47371,25.40054,2,1
25.62227,26.26644,2,1
27.9041,28.37554,2,1
29.27242,31.17521,2,1
29.98461,34.07896,2,1
30.35986,37.05118,2,1
30.36,38.12118,2,1
30.36,38.12118,2,1
30.36,38.12118,2,1
30.27857,37.52674,2,1
29.86456,34.55547,2,1
29.8129,34.19919,2,1
29.54476,32.17994,2,1
29.04742,29.1002,2,1
27.80261,26.26048,2,1
27.82805,24.58932,2,1
27.82805,24.58932,2,1
27.82805,24.58932,2,1
27.82805,24.58932,2,1
27.82805,24.58932,2,1
27.82805,24.58932,2,1
28.01041,25.53184,2,1
28.60307,28.59503,2,1
29.09775,31.55365,2,1
29.75194,34.14548,2,1
29.81793,37.26476,2,1
29.84558,38.58445,2,1
29.84558,38.58445,2,1
29.84558,38.58445,2,1
29.14436,39.97797,2,1
29.14436,39.97797,2,1
29.14436,39.97797,2,1
29.14436,39.97797,2,1
29.14436,39.97797,2,1
30.66648,42.34887,2,1
32.65848,44.57076,2,1
33.91139,47.42125,2,1
34.85473,50.26857,2,1
34.99775,53.36798,2,1
34.91863,54.56535,2,1
34.9978,56.72389,2,1
34.9978,56.72389,2,1
34.9978,56.72389,2,1
35.72403,57.1944,2,1
35.86813,57.33909,2,1
36.38242,57.55956,2,1
36.38242,57.55956,2,1
35.35079,59.16544,2,1
32.92226,60.78996,2,1
32.44779,60.79,2,1
32.44779,60.79,2,1
32.44779,60.79,2,1
32.44779,60.79,2,1
32.50869,60.55785,2,1
33.84932,57.92969,2,1
34.53831,56.99053,2,1
34.82401,54.22736,2,1
34.9177,51.23525,2,1
34.88441,50.39591,2,1
34.88441,50.39591,2,1
34.47601,50.14453,2,1
32.09925,48.34976,2,1
29.02252,48.02742,2,1
26.20737,48.90644,2,1
25.7609,49.30717,2,1
25.33635,50.91273,2,1
25.03158,52.44161,2,1
24.72,55.41471,2,1
24.72,56.12829,2,1
24.71402,57.32796,2,1
24.71402,57.32796,2,1
24.71402,57.32796,2,1
24.08614,58.33435,2,1
24.08614,58.33435,2,1
24.08614,58.33435,2,1
24.08614,58.33435,2,1
24.08614,58.33435,2,1
24.08614,58.33435,2,1
24.90613,56.46643,2,1
25.36,53.56409,2,1
25.56919,50.63186,2,1
27.30465,48.07193,2,1
27.54764,47.8063,2,1
28.74493,45.50243,2,1
29.77758,42.56405,2,1
30.54931,39.67416,2,1
30.36,36.95369,2,1
30.36,33.87875,2,1
30.50226,32.57781,2,1
30.65802,31.63059,2,1
30.65802,31.63059,2,1
30.04837,32.8391,2,1
29.72,34.21575,2,1
29.72,34.21575,2,1
29.72,34.21575,2,1
29.56111,32.69419,2,1
28.21032,29.9951,2,1
25.40308,28.71789,2,1
22.44416,28.23782,2,1
19.48518,27.2952,2,1
16.61527,28.40214,2,1
13.80266,29.44304,2,1
11.11345,30.96184,2,1
9.463031,33.06473,2,1
9.72,35.51273,2,1
9.72,38.53712,2,1
9.471439,39.58437,2,1
9.267226,40.64471,2,1
9.267226,40.64471,2,1
9.267226,40.64471,2,1
9.267226,40.64471,2,1
9.267226,40.64471,2,1
9.267226,40.64471,2,1
9.267226,40.64471,2,1
9.977429,41.60671,2,1
11.04136,43.19574,2,1
12.30554,45.91204,2,1
14.06538,48.4877,2,1
14.53905,51.1108,2,1
14.78183,53.89467,2,1
14.74877,57.0111,2,1
14.75786,58.09063,2,1
14.75786,58.09063,2,1
14.75786,58.09063,2,1
14.75786,58.09063,2,1
14.75786,58.09063,2,1
14.75786,58.09063,2,1
14.75786,58.09063,2,1
14.75786,58.09063,2,1
14.75786,58.09063,2,1
14.75786,58.09063,2,1
14.75786,58.09063,2,1
14.75786,58.09063,2,1
14.75786,58.09063,2,1
14.75786,58.09063,2,1
14.69267,57.49425,2,1
14.72,54.34295,2,1
14.71353,51.35534,2,1
14.63669,50.51887,2,1
14.63669,50.51887,2,1
13.61121,50.183,2,1
10.63605,49.31893,2,1
7.662221,49.70055,2,1
5.290113,50.40622,2,1
5.290113,50.40622,2,1
4.7202,53.22013,2,1
4.780876,56.33374,2,1
4.848665,57.77213,2,1
4.848665,57.77213,2,1
4.848665,57.77213,2,1
3.309392,58.02224,2,1
2.470133,58.04293,2,1
2.470133,58.04293,2,1
2.470133,58.04293,2,1
2.12,57.22,2,1
2.690328,57.99222,2,1
3.6056,59.25528,2,1
3.6056,59.25528,2,1
