x,y,DISTANCE,n,risk,safe_first
1804,2209,159,1,1,risky first
1984,2128,197.4,1,1,risky first
1924,1948,189.7,1,1,risky first
1744,1852,204,1,1,risky first
1564,1927,195,1,1,risky first
1384,1777,234.3,1,1,risky first
1252,1597,223.2,1,1,risky first
1120,1459,191,1,1,risky first
940,1639,254.6,1,1,risky first
886,1750,123.4,1,1,risky first
1033,1930,232.4,1,1,risky first
1213,2050,216.3,1,1,risky first
1393,2050,180,1,1,risky first
1573,2050,180,1,1,risky first
1753,2050,180,1,1,risky first
1933,2026,181.6,1,1,risky first
2050,1942,144,1,1,risky first
1882,1801,219.3,1,1,risky first
1702,1669,223.2,1,1,risky first
1522,1588,197.4,1,1,risky first
1420,1630,110.3,1,1,risky first
1240,1630,180,1,1,risky first
1132,1795,197.2,1,1,risky first
1273,1975,228.7,1,1,risky first
1453,1939,183.6,1,1,risky first
1573,1876,135.5,1,1,risky first
1573,1888,12,1,1,risky first
1465,2017,168.2,1,1,risky first
1285,2023,180.1,1,1,risky first
1105,1897,219.7,1,1,risky first
1123,1717,180.9,1,1,risky first
1168,1537,185.5,1,1,risky first
1273,1429,150.6,1,1,risky first
1453,1609,254.6,1,1,risky first
1633,1789,254.6,1,1,risky first
1813,1924,225,1,1,risky first
1993,2014,201.2,1,1,risky first
1888,1924,138.3,1,1,risky first
1966,1810,138.1,1,1,risky first
1966,1672,138,1,1,risky first
1924,1492,184.8,1,1,risky first
1744,1474,180.9,1,1,risky first
1564,1474,180,1,1,risky first
1384,1474,180,1,1,risky first
1204,1447,182,1,1,risky first
1153,1606,167,1,1,risky first
1243,1786,201.2,1,1,risky first
1423,1906,216.3,1,1,risky first
1603,1867,184.2,1,1,risky first
1783,1867,180,1,1,risky first
2209,2233,168.4,1,0,risky first
2233,2302,73.1,1,0,risky first
2206,2371,74.1,1,0,risky first
2140,2551,191.7,1,0,risky first
1960,2731,254.6,1,0,risky first
1780,2854,218,1,0,risky first
1600,2848,180.1,1,0,risky first
1447,2668,236.2,1,0,risky first
1315,2488,223.2,1,0,risky first
1453,2308,226.8,1,0,risky first
1495,2128,184.8,1,0,risky first
1561,1948,191.7,1,0,risky first
1621,1768,189.7,1,0,risky first
1765,1588,230.5,1,0,risky first
1915,1408,234.3,1,0,risky first
1990,1228,195,1,0,risky first
1990,1279,51,1,0,risky first
2056,1459,191.7,1,0,risky first
2056,1639,180,1,0,risky first
2116,1819,189.7,1,0,risky first
2059,1999,188.8,1,0,risky first
2059,1912,87,1,0,risky first
2059,1732,180,1,0,risky first
1963,1552,204,1,0,risky first
2026,1372,190.7,1,0,risky first
2083,1192,188.8,1,0,risky first
2101,1207,23.4,1,0,risky first
2071,1387,182.5,1,0,risky first
2062,1567,180.2,1,0,risky first
2095,1747,183,1,0,risky first
2095,1927,180,1,0,risky first
2095,1978,51,1,0,risky first
2128,1798,183,1,0,risky first
2152,1618,181.6,1,0,risky first
2152,1438,180,1,0,risky first
2152,1258,180,1,0,risky first
2140,1078,180.4,1,0,risky first
2020,1150,139.9,1,0,risky first
2056,1057,99.7,1,0,risky first
2143,1171,143.4,1,0,risky first
2143,1351,180,1,0,risky first
2101,1531,184.8,1,0,risky first
2110,1711,180.2,1,0,risky first
2077,1891,183,1,0,risky first
2077,1993,102,1,0,risky first
2158,1813,197.4,1,0,risky first
2158,1633,180,1,0,risky first
2158,1453,180,1,0,risky first
2158,1273,180,1,0,risky first
2158,1093,180,1,0,risky first
2128,1069,38.4,1,0,risky first
2260,1237,213.7,1,0,risky first
2440,1294,188.8,1,0,risky first
2620,1180,213.1,1,0,risky first
2800,1285,208.4,1,0,risky first
2887,1441,178.6,1,0,risky first
2707,1441,180,1,0,risky first
2527,1441,180,1,0,risky first
2347,1465,181.6,1,0,risky first
2167,1552,199.9,1,0,risky first
2086,1732,197.4,1,0,risky first
2086,1912,180,1,0,risky first
2167,2053,162.6,1,0,risky first
2347,2053,180,1,0,risky first
2527,1888,244.2,1,0,risky first
2707,1843,185.5,1,0,risky first
2887,1663,254.6,1,0,risky first
2917,1483,182.5,1,0,risky first
2749,1567,187.8,1,0,risky first
2569,1747,254.6,1,0,risky first
2389,1927,254.6,1,0,risky first
2209,1999,193.9,1,0,risky first
2134,2038,84.5,1,0,risky first
2314,1870,246.2,1,0,risky first
2494,1690,254.6,1,0,risky first
2674,1573,214.7,1,0,risky first
2854,1462,211.5,1,0,risky first
2899,1432,54.1,1,0,risky first
2719,1606,250.4,1,0,risky first
2539,1765,240.2,1,0,risky first
2359,1927,242.2,1,0,risky first
2179,2011,198.6,1,0,risky first
2167,2005,13.4,1,0,risky first
2347,1825,254.6,1,0,risky first
2527,1705,216.3,1,0,risky first
2707,1531,250.4,1,0,risky first
2887,1423,209.9,1,0,risky first
2776,1528,152.8,1,0,risky first
2596,1708,254.6,1,0,risky first
2416,1888,254.6,1,0,risky first
2236,1993,208.4,1,0,risky first
2194,2068,86,1,0,risky first
2374,1903,244.2,1,0,risky first
2554,1723,254.6,1,0,risky first
2734,1603,216.3,1,0,risky first
2914,1441,242.2,1,0,risky first
2761,1588,212.2,1,0,risky first
2581,1756,246.2,1,0,risky first
2401,1879,218,1,0,risky first
2221,1918,184.2,1,0,risky first
2140,2044,149.8,1,0,risky first
2320,1867,252.4,1,0,risky first
2500,1687,254.6,1,0,risky first
2680,1507,254.6,1,0,risky first
2860,1462,185.5,1,0,risky first
2821,1528,76.7,1,0,risky first
2641,1627,205.4,1,0,risky first
2461,1807,254.6,1,0,risky first
2281,1909,206.9,1,0,risky first
2101,1996,199.9,1,0,risky first
2137,1906,96.9,1,0,risky first
2137,1726,180,1,0,risky first
2137,1546,180,1,0,risky first
2227,1579,95.9,1,0,risky first
2407,1579,180,1,0,risky first
2587,1579,180,1,0,risky first
2767,1624,185.5,1,0,risky first
2920,1462,222.8,1,0,risky first
2740,1612,234.3,1,0,risky first
2560,1792,254.6,1,0,risky first
2380,1966,250.4,1,0,risky first
2200,1966,180,1,0,risky first
